Participant,Seed,Prompt Adherence,Prompt Adherence,Prompt Adherence,,Readability,Readability,Readability,,Musicality,Musicality,Musicality,,Authenticity,Authenticity,Authenticity,,Usability,Usability,Usability
,,Text2Score,ComposerX,MidiLLM,,Text2Score,ComposerX,MidiLLM,,Text2Score,ComposerX,MidiLLM,,Text2Score,ComposerX,MidiLLM,,Text2Score,ComposerX,MidiLLM
Participant 1,Seed 1,5,5,1,,5,4,2,,5,4,2,,5,4,1,,5,4,1
Participant 2,Seed 1,4,4,4,,4,4,2,,4,4,4,,4,3,4,,4,4,4
Participant 3,Seed 1,2,4,3,,3,3,3,,3,4,3,,4,4,3,,3,3,4
Participant 4,Seed 1,4,3,2,,5,2,1,,4,3,1,,4,2,1,,4,2,1
Participant 5,Seed 1,4,2,1,,4,3,1,,4,2,1,,4,2,1,,4,2,1
Participant 6,Seed 1,4,4,4,,5,5,3,,4,5,4,,4,5,2,,5,4,2
Participant 7,Seed 1,2,4,1,,4,4,1,,5,3,1,,5,2,1,,5,2,1
Participant 8,Seed 1,4,4,3,,3,4,3,,3,2,1,,4,3,2,,4,3,2
Participant 9,Seed 1,4,3,1,,4,3,1,,3,3,2,,3,1,1,,3,2,1
Participant 10,Seed 1,3,2,1,,5,3,1,,4,3,2,,2,2,1,,4,2,1
Participant 11,Seed 1,4,3,1,,5,3,1,,4,3,1,,4,2,1,,5,2,1
Participant 12,Seed 1,4,5,2,,4,5,4,,4,5,2,,3,4,1,,4,4,2
Participant 13,Seed 1,3,2,1,,4,3,1,,3,2,1,,2,1,1,,2,2,1
Participant 14,Seed 1,3,4,1,,5,5,3,,3,3,2,,1,2,1,,2,3,2
Participant 15,Seed 1,4,3,1,,4,3,1,,4,3,1,,3,3,1,,3,3,1
Participant 16,Seed 1,5,5,2,,5,4,2,,5,5,1,,5,4,2,,5,5,2
Participant 17,Seed 1,4,3,2,,4,3,1,,4,4,3,,4,3,2,,4,3,1
Participant 18,Seed 1,5,4,1,,4,4,1,,4,3,1,,4,3,1,,4,3,1
Participant 19,Seed 1,2,4,1,,3,4,1,,3,4,1,,2,4,1,,2,4,1
Participant 20,Seed 1,2,3,1,,5,4,2,,3,3,1,,2,4,1,,2,4,1
Participant 21,Seed 1,2,2,1,,5,3,1,,3,2,1,,2,1,1,,2,2,1
Participant 22,Seed 1,2,3,1,,3,3,1,,2,3,1,,1,2,1,,2,3,1
Participant 23,Seed 1,3,4,1,,4,5,3,,3,3,1,,3,3,1,,3,4,1
Participant 24,Seed 1,2,2,1,,3,3,1,,2,3,1,,2,2,1,,2,2,1
Participant 1,Seed 2,5,1,3,,5,4,1,,4,3,2,,4,2,2,,5,2,1
Participant 2,Seed 2,5,4,2,,5,4,3,,4,4,1,,2,4,3,,4,4,3
Participant 3,Seed 2,2,2,2,,2,3,3,,3,3,2,,2,2,2,,3,4,2
Participant 4,Seed 2,5,2,1,,5,3,1,,5,4,2,,4,2,1,,4,3,1
Participant 5,Seed 2,4,4,2,,4,4,2,,4,4,2,,4,3,1,,4,3,1
Participant 6,Seed 2,4,4,4,,4,2,3,,5,4,4,,5,4,4,,5,3,4
Participant 7,Seed 2,3,2,1,,3,1,2,,3,1,1,,3,1,2,,3,1,1
Participant 8,Seed 2,3,2,2,,4,3,3,,4,1,3,,4,1,2,,4,1,2
Participant 9,Seed 2,4,1,2,,4,2,2,,3,1,1,,3,1,1,,4,1,2
Participant 10,Seed 2,5,3,3,,3,1,2,,4,3,2,,3,2,1,,4,2,2
Participant 11,Seed 2,3,2,2,,3,1,2,,3,2,2,,2,1,2,,2,1,1
Participant 12,Seed 2,5,3,2,,4,1,2,,3,2,1,,3,3,1,,4,2,1
Participant 13,Seed 2,2,1,1,,2,1,1,,2,1,1,,1,1,1,,1,1,1
Participant 14,Seed 2,3,1,1,,3,1,2,,2,1,2,,2,1,1,,2,1,1
Participant 15,Seed 2,2,3,1,,2,1,2,,4,2,2,,2,1,1,,2,2,2
Participant 16,Seed 2,5,1,2,,5,1,2,,5,1,2,,5,1,2,,5,1,2
Participant 17,Seed 2,3,2,1,,3,1,1,,3,2,1,,3,2,1,,3,1,1
Participant 18,Seed 2,4,4,3,,5,4,3,,5,4,2,,5,4,2,,5,4,2
Participant 19,Seed 2,4,2,1,,4,2,1,,4,2,1,,4,2,1,,4,2,1
Participant 20,Seed 2,4,5,1,,5,4,2,,3,4,2,,3,4,1,,3,5,1
Participant 21,Seed 2,2,2,1,,4,3,1,,1,2,1,,1,1,1,,2,2,1
Participant 22,Seed 2,2,2,1,,3,2,2,,3,3,2,,3,1,1,,3,2,2
Participant 23,Seed 2,3,3,2,,5,2,1,,3,4,2,,3,4,1,,3,4,2
Participant 24,Seed 2,4,3,1,,4,2,1,,3,3,1,,2,3,1,,3,3,1
